Booking_ID,Property,City,Region,Business_Model,Booking_Type,Check_In_Date,Year,Month,Quarter,Year_Quarter,Is_Weekend,Nightly_Rate_GHS,Nightly_Rate_USD,Nights_Stayed,Revenue_GHS,Pricing_Phase,Phase_Occupancy_Rate,Pricing_Note
BAR-B0001,Barekese,Kumasi,Ashanti Region,Short Stay / Event Hosting,Nightly Stay,2022-06-13,2022,June,Q2,2022-Q2,False,1500.0,150.0,1.0,1500,Phase 1 – Launch (Overpriced),0.18,Low bookings – price too high
BAR-B0002,Barekese,Kumasi,Ashanti Region,Short Stay / Event Hosting,Nightly Stay,2022-03-12,2022,March,Q1,2022-Q1,True,2000.0,200.0,1.0,2000,Phase 1 – Launch (Overpriced),0.18,Low bookings – price too high
BAR-B0003,Barekese,Kumasi,Ashanti Region,Short Stay / Event Hosting,Nightly Stay,2022-02-05,2022,February,Q1,2022-Q1,True,2000.0,200.0,3.0,2000,Phase 1 – Launch (Overpriced),0.18,Low bookings – price too high
BAR-B0004,Barekese,Kumasi,Ashanti Region,Short Stay / Event Hosting,Nightly Stay,2022-06-23,2022,June,Q2,2022-Q2,False,1500.0,150.0,3.0,1500,Phase 1 – Launch (Overpriced),0.18,Low bookings – price too high
BAR-B0005,Barekese,Kumasi,Ashanti Region,Short Stay / Event Hosting,Nightly Stay,2022-05-20,2022,May,Q2,2022-Q2,True,2000.0,200.0,1.0,2000,Phase 1 – Launch (Overpriced),0.18,Low bookings – price too high
BAR-B0006,Barekese,Kumasi,Ashanti Region,Short Stay / Event Hosting,Nightly Stay,2022-04-19,2022,April,Q2,2022-Q2,False,1500.0,150.0,1.0,1500,Phase 1 – Launch (Overpriced),0.18,Low bookings – price too high
BAR-B0007,Barekese,Kumasi,Ashanti Region,Short Stay / Event Hosting,Nightly Stay,2022-01-24,2022,January,Q1,2022-Q1,False,1500.0,150.0,1.0,1500,Phase 1 – Launch (Overpriced),0.18,Low bookings – price too high
BAR-B0008,Barekese,Kumasi,Ashanti Region,Short Stay / Event Hosting,Nightly Stay,2022-05-10,2022,May,Q2,2022-Q2,False,1500.0,150.0,3.0,1500,Phase 1 – Launch (Overpriced),0.18,Low bookings – price too high
BAR-B0009,Barekese,Kumasi,Ashanti Region,Short Stay / Event Hosting,Nightly Stay,2022-05-24,2022,May,Q2,2022-Q2,False,1500.0,150.0,1.0,1500,Phase 1 – Launch (Overpriced),0.18,Low bookings – price too high
BAR-B0010,Barekese,Kumasi,Ashanti Region,Short Stay / Event Hosting,Nightly Stay,2022-06-16,2022,June,Q2,2022-Q2,False,1500.0,150.0,3.0,1500,Phase 1 – Launch (Overpriced),0.18,Low bookings – price too high
BAR-B0011,Barekese,Kumasi,Ashanti Region,Short Stay / Event Hosting,Nightly Stay,2022-04-18,2022,April,Q2,2022-Q2,False,1500.0,150.0,1.0,1500,Phase 1 – Launch (Overpriced),0.18,Low bookings – price too high
BAR-B0012,Barekese,Kumasi,Ashanti Region,Short Stay / Event Hosting,Nightly Stay,2022-05-31,2022,May,Q2,2022-Q2,False,1500.0,150.0,1.0,1500,Phase 1 – Launch (Overpriced),0.18,Low bookings – price too high
BAR-B0013,Barekese,Kumasi,Ashanti Region,Short Stay / Event Hosting,Nightly Stay,2022-01-02,2022,January,Q1,2022-Q1,True,2000.0,200.0,4.0,2000,Phase 1 – Launch (Overpriced),0.18,Low bookings – price too high
BAR-B0014,Barekese,Kumasi,Ashanti Region,Short Stay / Event Hosting,Nightly Stay,2022-02-10,2022,February,Q1,2022-Q1,False,1500.0,150.0,3.0,1500,Phase 1 – Launch (Overpriced),0.18,Low bookings – price too high
BAR-B0015,Barekese,Kumasi,Ashanti Region,Short Stay / Event Hosting,Nightly Stay,2022-03-29,2022,March,Q1,2022-Q1,False,1500.0,150.0,1.0,1500,Phase 1 – Launch (Overpriced),0.18,Low bookings – price too high
BAR-B0016,Barekese,Kumasi,Ashanti Region,Short Stay / Event Hosting,Nightly Stay,2022-02-25,2022,February,Q1,2022-Q1,True,2000.0,200.0,7.0,2000,Phase 1 – Launch (Overpriced),0.18,Low bookings – price too high
BAR-B0017,Barekese,Kumasi,Ashanti Region,Short Stay / Event Hosting,Nightly Stay,2022-03-28,2022,March,Q1,2022-Q1,False,1500.0,150.0,1.0,1500,Phase 1 – Launch (Overpriced),0.18,Low bookings – price too high
BAR-B0018,Barekese,Kumasi,Ashanti Region,Short Stay / Event Hosting,Nightly Stay,2022-04-08,2022,April,Q2,2022-Q2,True,2000.0,200.0,1.0,2000,Phase 1 – Launch (Overpriced),0.18,Low bookings – price too high
BAR-B0019,Barekese,Kumasi,Ashanti Region,Short Stay / Event Hosting,Nightly Stay,2022-03-30,2022,March,Q1,2022-Q1,False,1500.0,150.0,3.0,1500,Phase 1 – Launch (Overpriced),0.18,Low bookings – price too high
BAR-B0020,Barekese,Kumasi,Ashanti Region,Short Stay / Event Hosting,Nightly Stay,2022-01-12,2022,January,Q1,2022-Q1,False,1500.0,150.0,3.0,1500,Phase 1 – Launch (Overpriced),0.18,Low bookings – price too high
BAR-B0021,Barekese,Kumasi,Ashanti Region,Short Stay / Event Hosting,Nightly Stay,2022-05-18,2022,May,Q2,2022-Q2,False,1500.0,150.0,1.0,1500,Phase 1 – Launch (Overpriced),0.18,Low bookings – price too high
BAR-B0022,Barekese,Kumasi,Ashanti Region,Short Stay / Event Hosting,Nightly Stay,2022-04-07,2022,April,Q2,2022-Q2,False,1500.0,150.0,1.0,1500,Phase 1 – Launch (Overpriced),0.18,Low bookings – price too high
BAR-B0023,Barekese,Kumasi,Ashanti Region,Short Stay / Event Hosting,Nightly Stay,2022-03-17,2022,March,Q1,2022-Q1,False,1500.0,150.0,4.0,1500,Phase 1 – Launch (Overpriced),0.18,Low bookings – price too high
BAR-B0024,Barekese,Kumasi,Ashanti Region,Short Stay / Event Hosting,Nightly Stay,2022-06-08,2022,June,Q2,2022-Q2,False,1500.0,150.0,5.0,1500,Phase 1 – Launch (Overpriced),0.18,Low bookings – price too high
BAR-B0025,Barekese,Kumasi,Ashanti Region,Short Stay / Event Hosting,Nightly Stay,2022-04-03,2022,April,Q2,2022-Q2,True,2000.0,200.0,3.0,2000,Phase 1 – Launch (Overpriced),0.18,Low bookings – price too high
BAR-B0026,Barekese,Kumasi,Ashanti Region,Short Stay / Event Hosting,Nightly Stay,2022-01-18,2022,January,Q1,2022-Q1,False,1500.0,150.0,1.0,1500,Phase 1 – Launch (Overpriced),0.18,Low bookings – price too high
BAR-B0027,Barekese,Kumasi,Ashanti Region,Short Stay / Event Hosting,Nightly Stay,2022-02-28,2022,February,Q1,2022-Q1,False,1500.0,150.0,4.0,1500,Phase 1 – Launch (Overpriced),0.18,Low bookings – price too high
BAR-B0028,Barekese,Kumasi,Ashanti Region,Short Stay / Event Hosting,Nightly Stay,2022-01-21,2022,January,Q1,2022-Q1,True,2000.0,200.0,5.0,2000,Phase 1 – Launch (Overpriced),0.18,Low bookings – price too high
BAR-B0029,Barekese,Kumasi,Ashanti Region,Short Stay / Event Hosting,Nightly Stay,2022-01-26,2022,January,Q1,2022-Q1,False,1500.0,150.0,2.0,1500,Phase 1 – Launch (Overpriced),0.18,Low bookings – price too high
BAR-B0030,Barekese,Kumasi,Ashanti Region,Short Stay / Event Hosting,Nightly Stay,2022-04-27,2022,April,Q2,2022-Q2,False,1500.0,150.0,3.0,1500,Phase 1 – Launch (Overpriced),0.18,Low bookings – price too high
BAR-B0031,Barekese,Kumasi,Ashanti Region,Short Stay / Event Hosting,Nightly Stay,2022-04-04,2022,April,Q2,2022-Q2,False,1500.0,150.0,1.0,1500,Phase 1 – Launch (Overpriced),0.18,Low bookings – price too high
BAR-B0032,Barekese,Kumasi,Ashanti Region,Short Stay / Event Hosting,Nightly Stay,2022-04-01,2022,April,Q2,2022-Q2,True,2000.0,200.0,1.0,2000,Phase 1 – Launch (Overpriced),0.18,Low bookings – price too high
BAR-E0033,Barekese,Kumasi,Ashanti Region,Short Stay / Event Hosting,Event Hosting,2022-03-10,2022,March,Q1,2022-Q1,False,,,,5000,Phase 1 – Launch (Overpriced),0.18,Low bookings – price too high
BAR-B0034,Barekese,Kumasi,Ashanti Region,Short Stay / Event Hosting,Nightly Stay,2022-12-27,2022,December,Q4,2022-Q4,False,1200.0,120.0,5.0,1200,Phase 2 – First Adjustment,0.31,Moderate improvement
BAR-B0035,Barekese,Kumasi,Ashanti Region,Short Stay / Event Hosting,Nightly Stay,2022-12-13,2022,December,Q4,2022-Q4,False,1200.0,120.0,1.0,1200,Phase 2 – First Adjustment,0.31,Moderate improvement
BAR-B0036,Barekese,Kumasi,Ashanti Region,Short Stay / Event Hosting,Nightly Stay,2022-12-10,2022,December,Q4,2022-Q4,True,1600.0,160.0,1.0,1600,Phase 2 – First Adjustment,0.31,Moderate improvement
BAR-B0037,Barekese,Kumasi,Ashanti Region,Short Stay / Event Hosting,Nightly Stay,2022-09-01,2022,September,Q3,2022-Q3,False,1200.0,120.0,1.0,1200,Phase 2 – First Adjustment,0.31,Moderate improvement
BAR-B0038,Barekese,Kumasi,Ashanti Region,Short Stay / Event Hosting,Nightly Stay,2022-10-06,2022,October,Q4,2022-Q4,False,1200.0,120.0,1.0,1200,Phase 2 – First Adjustment,0.31,Moderate improvement
BAR-B0039,Barekese,Kumasi,Ashanti Region,Short Stay / Event Hosting,Nightly Stay,2022-12-11,2022,December,Q4,2022-Q4,True,1600.0,160.0,3.0,1600,Phase 2 – First Adjustment,0.31,Moderate improvement
BAR-B0040,Barekese,Kumasi,Ashanti Region,Short Stay / Event Hosting,Nightly Stay,2022-08-26,2022,August,Q3,2022-Q3,True,1600.0,160.0,3.0,1600,Phase 2 – First Adjustment,0.31,Moderate improvement
BAR-B0041,Barekese,Kumasi,Ashanti Region,Short Stay / Event Hosting,Nightly Stay,2022-07-15,2022,July,Q3,2022-Q3,True,1600.0,160.0,1.0,1600,Phase 2 – First Adjustment,0.31,Moderate improvement
BAR-B0042,Barekese,Kumasi,Ashanti Region,Short Stay / Event Hosting,Nightly Stay,2022-07-09,2022,July,Q3,2022-Q3,True,1600.0,160.0,4.0,1600,Phase 2 – First Adjustment,0.31,Moderate improvement
BAR-B0043,Barekese,Kumasi,Ashanti Region,Short Stay / Event Hosting,Nightly Stay,2022-10-11,2022,October,Q4,2022-Q4,False,1200.0,120.0,1.0,1200,Phase 2 – First Adjustment,0.31,Moderate improvement
BAR-B0044,Barekese,Kumasi,Ashanti Region,Short Stay / Event Hosting,Nightly Stay,2022-08-24,2022,August,Q3,2022-Q3,False,1200.0,120.0,5.0,1200,Phase 2 – First Adjustment,0.31,Moderate improvement
BAR-B0045,Barekese,Kumasi,Ashanti Region,Short Stay / Event Hosting,Nightly Stay,2022-11-23,2022,November,Q4,2022-Q4,False,1200.0,120.0,5.0,1200,Phase 2 – First Adjustment,0.31,Moderate improvement
BAR-B0046,Barekese,Kumasi,Ashanti Region,Short Stay / Event Hosting,Nightly Stay,2022-09-19,2022,September,Q3,2022-Q3,False,1200.0,120.0,1.0,1200,Phase 2 – First Adjustment,0.31,Moderate improvement
BAR-B0047,Barekese,Kumasi,Ashanti Region,Short Stay / Event Hosting,Nightly Stay,2022-11-05,2022,November,Q4,2022-Q4,True,1600.0,160.0,2.0,1600,Phase 2 – First Adjustment,0.31,Moderate improvement
BAR-B0048,Barekese,Kumasi,Ashanti Region,Short Stay / Event Hosting,Nightly Stay,2022-12-12,2022,December,Q4,2022-Q4,False,1200.0,120.0,2.0,1200,Phase 2 – First Adjustment,0.31,Moderate improvement
BAR-B0049,Barekese,Kumasi,Ashanti Region,Short Stay / Event Hosting,Nightly Stay,2022-09-06,2022,September,Q3,2022-Q3,False,1200.0,120.0,1.0,1200,Phase 2 – First Adjustment,0.31,Moderate improvement
BAR-B0050,Barekese,Kumasi,Ashanti Region,Short Stay / Event Hosting,Nightly Stay,2022-11-21,2022,November,Q4,2022-Q4,False,1200.0,120.0,2.0,1200,Phase 2 – First Adjustment,0.31,Moderate improvement
BAR-B0051,Barekese,Kumasi,Ashanti Region,Short Stay / Event Hosting,Nightly Stay,2022-11-27,2022,November,Q4,2022-Q4,True,1600.0,160.0,2.0,1600,Phase 2 – First Adjustment,0.31,Moderate improvement
BAR-B0052,Barekese,Kumasi,Ashanti Region,Short Stay / Event Hosting,Nightly Stay,2022-10-01,2022,October,Q4,2022-Q4,True,1600.0,160.0,1.0,1600,Phase 2 – First Adjustment,0.31,Moderate improvement
BAR-B0053,Barekese,Kumasi,Ashanti Region,Short Stay / Event Hosting,Nightly Stay,2022-08-05,2022,August,Q3,2022-Q3,True,1600.0,160.0,2.0,1600,Phase 2 – First Adjustment,0.31,Moderate improvement
BAR-B0054,Barekese,Kumasi,Ashanti Region,Short Stay / Event Hosting,Nightly Stay,2022-07-24,2022,July,Q3,2022-Q3,True,1600.0,160.0,4.0,1600,Phase 2 – First Adjustment,0.31,Moderate improvement
BAR-B0055,Barekese,Kumasi,Ashanti Region,Short Stay / Event Hosting,Nightly Stay,2022-07-29,2022,July,Q3,2022-Q3,True,1600.0,160.0,1.0,1600,Phase 2 – First Adjustment,0.31,Moderate improvement
BAR-B0056,Barekese,Kumasi,Ashanti Region,Short Stay / Event Hosting,Nightly Stay,2022-08-10,2022,August,Q3,2022-Q3,False,1200.0,120.0,4.0,1200,Phase 2 – First Adjustment,0.31,Moderate improvement
BAR-B0057,Barekese,Kumasi,Ashanti Region,Short Stay / Event Hosting,Nightly Stay,2022-10-17,2022,October,Q4,2022-Q4,False,1200.0,120.0,3.0,1200,Phase 2 – First Adjustment,0.31,Moderate improvement
BAR-B0058,Barekese,Kumasi,Ashanti Region,Short Stay / Event Hosting,Nightly Stay,2022-10-07,2022,October,Q4,2022-Q4,True,1600.0,160.0,2.0,1600,Phase 2 – First Adjustment,0.31,Moderate improvement
BAR-B0059,Barekese,Kumasi,Ashanti Region,Short Stay / Event Hosting,Nightly Stay,2022-10-28,2022,October,Q4,2022-Q4,True,1600.0,160.0,2.0,1600,Phase 2 – First Adjustment,0.31,Moderate improvement
BAR-B0060,Barekese,Kumasi,Ashanti Region,Short Stay / Event Hosting,Nightly Stay,2022-11-19,2022,November,Q4,2022-Q4,True,1600.0,160.0,5.0,1600,Phase 2 – First Adjustment,0.31,Moderate improvement
BAR-B0061,Barekese,Kumasi,Ashanti Region,Short Stay / Event Hosting,Nightly Stay,2022-07-03,2022,July,Q3,2022-Q3,True,1600.0,160.0,3.0,1600,Phase 2 – First Adjustment,0.31,Moderate improvement
BAR-B0062,Barekese,Kumasi,Ashanti Region,Short Stay / Event Hosting,Nightly Stay,2022-07-30,2022,July,Q3,2022-Q3,True,1600.0,160.0,3.0,1600,Phase 2 – First Adjustment,0.31,Moderate improvement
BAR-B0063,Barekese,Kumasi,Ashanti Region,Short Stay / Event Hosting,Nightly Stay,2022-11-15,2022,November,Q4,2022-Q4,False,1200.0,120.0,4.0,1200,Phase 2 – First Adjustment,0.31,Moderate improvement
BAR-B0064,Barekese,Kumasi,Ashanti Region,Short Stay / Event Hosting,Nightly Stay,2022-09-26,2022,September,Q3,2022-Q3,False,1200.0,120.0,1.0,1200,Phase 2 – First Adjustment,0.31,Moderate improvement
BAR-B0065,Barekese,Kumasi,Ashanti Region,Short Stay / Event Hosting,Nightly Stay,2022-10-20,2022,October,Q4,2022-Q4,False,1200.0,120.0,1.0,1200,Phase 2 – First Adjustment,0.31,Moderate improvement
BAR-B0066,Barekese,Kumasi,Ashanti Region,Short Stay / Event Hosting,Nightly Stay,2022-07-01,2022,July,Q3,2022-Q3,True,1600.0,160.0,7.0,1600,Phase 2 – First Adjustment,0.31,Moderate improvement
BAR-B0067,Barekese,Kumasi,Ashanti Region,Short Stay / Event Hosting,Nightly Stay,2022-11-06,2022,November,Q4,2022-Q4,True,1600.0,160.0,4.0,1600,Phase 2 – First Adjustment,0.31,Moderate improvement
BAR-B0068,Barekese,Kumasi,Ashanti Region,Short Stay / Event Hosting,Nightly Stay,2022-11-07,2022,November,Q4,2022-Q4,False,1200.0,120.0,5.0,1200,Phase 2 – First Adjustment,0.31,Moderate improvement
BAR-B0069,Barekese,Kumasi,Ashanti Region,Short Stay / Event Hosting,Nightly Stay,2022-12-08,2022,December,Q4,2022-Q4,False,1200.0,120.0,1.0,1200,Phase 2 – First Adjustment,0.31,Moderate improvement
BAR-B0070,Barekese,Kumasi,Ashanti Region,Short Stay / Event Hosting,Nightly Stay,2022-12-03,2022,December,Q4,2022-Q4,True,1600.0,160.0,1.0,1600,Phase 2 – First Adjustment,0.31,Moderate improvement
BAR-B0071,Barekese,Kumasi,Ashanti Region,Short Stay / Event Hosting,Nightly Stay,2022-10-04,2022,October,Q4,2022-Q4,False,1200.0,120.0,4.0,1200,Phase 2 – First Adjustment,0.31,Moderate improvement
